album;language;code;scene;genre;lyrics;mood;tag;scence;artist;song
;;;;;;;;;;大悲咒
;;No-music;;;;;;;;
;;;;黄梅戏;;;;;;
;;;;;;;;;;唱歌跳舞
;;;;;;;;;;起床好
;;No-music;;;;;;;;
;;;;;;;;;;护花使者
;;;;;;;;;;白龙马
;;;;;;;;;阿黛尔;
;;;;;;;;;谭咏麟;一生所爱
;;No-music;;;;;;;;
;;;;;;;;;;小苹果
;;;;;;;;;;自由飞翔
;;;;;;;;;;梦里水乡
;;;;;;;;;张帝;毛毛歌
;;;;儿歌;;;;;;
;;;;;;;;;;外婆的澎湖湾
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;国外;;;
;;;;;;;;;;走天涯
;;No-music;;;;;;;;
;;;;;;;;;降央卓玛;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;dj;;;;;;迷茫的爱
;;;;;;;新版;;;天空之城
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;beyond;哭
;;;;儿歌;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;刘德华;
;;;;儿歌;;;;;;
;;;;;;;;;;魔鬼中的天使
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;虫儿飞
;;RANDOM;;;;;;;;
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;贼拉拉的爱你
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;花桥流水
;;No-music;;;;;;;;
;;;;;;;;;;中国美
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;月光女神
;;;;;;;;;;唐诗体操
;;;;;;;;;;我爱北京天安门
;;No-music;;;;;;;;
;;;;;;;;;;套马杆
;;No-music;;;;;;;;
;;;;;;;;;蔡依林;
;;;;;;;;;;逍遥叹
;;;;儿歌;;;;;;蓝精灵
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;RANDOM;;;;;;;;
;;;;;;;;;周杰伦;双截棍
;;No-music;;;;;;;;
;;;;;;;;;;一下桌子
;;No-music;;;;;;;;
;;;;儿歌;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;剑心
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;RANDOM;;;;;;;;
;;RANDOM;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;筷子兄弟;小苹果
;;;;轻音乐;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;年轮
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;雨樱花
;;;;;;;;;张杰;逆战
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;邓紫棋;爱你
;;No-music;;;;;;;;
;;;;;;;;;;小苹果
;;;;;;;;;;爱你一万年
;;No-music;;;;;;;;
;;;;;;;;;;催眠曲
;;No-music;;;;;;;;
;;No-music;;;;;;;;
;;;;;;;;;;大王叫我来巡山
;;;;;;;;;;世上只有妈妈好
;;;;;;;;;;快乐崇拜
;;;;儿歌;;;;;;我妈妈爱国
;;RANDOM;;;;;;;;
;;;;;;;;;;蜻蜓
